CODE,de
NAME,Deutsch
ABLC_DESC,Erlaubt die Kontrolle von Gebäude-Leveln basierend auf einem Distrikt und/oder einzelnen Gebäuden.
ABLC_NAME,Advanced Building Level Control
ABLC_SHORT,Level-Steuerung
ABLC_CTRL,Steuert Level
ABLC_BUT_DIS,Die Level-Steuerung ist für diesen Gebäude-Typ nicht verfügbar.
ABLC_LVL_MIN,Minimales Level
ABLC_LVL_MIN_TIP,Das niedrigste erlaubte Level für dieses Gebäude-Typ.
ABLC_LVL_MAX,Maximales Level
ABLC_LVL_MAX_TIP,Das höchste erlaubte Level für dieses Gebäude.
ABLC_CAT_RES,Wohngebäude Level
ABLC_CAT_RMN_TIP,Das niedrigste erlaubte Level für Wohngebäude in diesem Distrikt.
ABLC_CAT_RMX_TIP,Das höchste erlaubte Level für Wohngebäude in diesem Distrikt.
ABLC_CAT_WRK,Arbeitsgebäude Level
ABLC_CAT_WMN_TIP,Das niedrigste erlaubte Level für Arbeitsgebäude (Industrie/Gewerbe/Büro) in diesem Distrikt.
ABLC_CAT_WMX_TIP,Das höchste erlaubte Level für Arbeitsgebäude (Industrie/Gewerbe/Büro) in diesem Distrikt.
ABLC_RAN_SPN,Zufälliges Bau-Level
ABLC_RAN_SPN_TIP,"Wenn aktiviert, werden neue Gebäude in diesem Distrikt ein zufälliges Bau-Level zwischen den Minimal- und Maximal-Werten für diesen Distrikt haben."
ABLC_HIS_SPN,Nur neue Gebäude
ABLC_HIS_SPN_TIP,"Wenn aktiviert, werden neue Gebäude in diesem Distrikt automatisch als historisch markiert. Beeinflusst nicht schon bestehende Gebäude."
ABLC_TRIG_UP,Verbesserung erzwingen
ABLC_TRIG_UPB_TIP,Zwingt dieses Gebäude zur Verbesserung auf das festgelegte minimale Level.
ABLC_TRIG_UPD_TIP,Zwingt alle Gebäude in diesem Distrikt mit einem Level unter dem festgelegtem Minimum sich auf das Minimum zu verbessern.
ABLC_TRIG_DWN,Herabstufung erzwingen
ABLC_TRIG_DWB_TIP,Zwingt dieses Gebäude zum Herabstufen auf das festgelegte maximale Level.
ABLC_TRIG_DWD_TIP,Zwingt alle Gebäude in diesem Distrikt mit einem Level über dem festgelegtem Maximum sich auf das Maximum herabzustufen.
ABLC_HIS,Historisch festlegen
ABLC_TRIG_HIS,Historisch erzwingen
ABLC_TRIG_HIS_TIP,Stellt alle Gebäude in diesem Distrikt unter Denkmalschutz.
ABLC_TRIG_NHS,Historisch zurücksetzen
ABLC_TRIG_NHS_TIP,Hebt für alle Gebäude in diesem Distrikt den Denkmalschutz auf.
ABLC_CLR_BLD,Gebäude-einstellungen zurücksetzen
ABLC_CLR_BLD_TIP,Setzt alle individuellen Gebäude-Level in diesem Distrikt zurück.
ABLC_OPT_PNL,Panel-Optionen
ABLC_OPT_PLY,Spiel-Optionen
ABLC_OPT_SHO,Zeige das Panel bei Auswahl eines Gebäudes
ABLC_OPT_RT,Platziere das ABLC Panel auf der rechten Seite des Info-Panels (anstatt auf der linken Seite)
ABLC_OPT_ANA,Gebäude werden nicht verlassen
ABLC_OPT_HNA,Nur Gebäude unter Denkmalschutz werden nicht verlassen
ABLC_OPT_CLL,Alle Gebäude auf auf der Karte beim Laden überprüfen und fehlerhafte Gebäude-Level korrigieren
TRN_CHOICE,Sprache einstellen
TRN_SYS,Nutze Spielsprache
MES_CLS,Schließen
MES_DSA,Nicht erneut anzeigen
MES_PAGE,Bitte besuche die Workshopseite des Mods für weitere Informationen.
ABLC_ERR_FAT,"Dies bedeutet, dass der Mod nicht funktioniert und sich daher geschlossen hat."
ABLC_ERR_HAR,Advanced Building Level Control war nicht in der Lage die notwendigen Harmony Patches auszuführen.
ERR_HAR0,Harmony Patching-Fehler
ERR_HAR1,Mögliche Gründe für diesen Fehler:
ERR_HAR2,Die benötigte Harmony 2 mod ist nicht installiert
ERR_HAR3,"Eine alte und/oder defekte Mod verhindert, dass Harmony 2 korrekt funktionieren kann"
ERR_CON0,Mod-Konflikt erkannt!
ERR_CON1,Die folgenden Mods haben einen Konflikt ausgelöst:
ABLC_ERR_CON0,Advanced Building Level Control hat einen Konflikt mit mindestens einer anderen Mod festgestellt.
ABLC_ERR_CON1,"Diese Mods müssen entfernt werden, damit Advanced Building Level Control funktionieren kann."